experiment_type,parameter_value,hidden_layers,activation,optimizer,batch_size,epochs,mean_train_accuracy,std_train_accuracy,mean_test_accuracy,std_test_accuracy,best_test_accuracy,mean_train_loss,mean_test_loss,mean_training_time,mean_train_mse,mean_test_mse,mean_train_rmse,mean_test_rmse,mean_train_mae,mean_test_mae,best_train_accuracy,best_test_loss
layers,1_layers,[32],relu,sgd,32,50,0.250625,0.03539276154024216,0.22833333333333333,0.0339934634239519,0.2833333333333333,1.7447540533788704,1.7682757135530476,2.9053794145584106,0.7493749999999999,0.7716666666666667,0.8656644846590392,0.8784455968736292,0.7493749999999999,0.7716666666666667,0.3125,1.7530733629904092
layers,2_layers,"[64, 32]",relu,sgd,32,50,0.27604166666666663,0.02983243131783484,0.24333333333333335,0.04576510072581994,0.325,1.7319408301129198,1.7562824502964123,4.003469729423523,0.7239583333333334,0.7566666666666666,0.8508574106942557,0.8698658900466592,0.7239583333333334,0.7566666666666666,0.33125,1.7013933852252625
layers,3_layers,"[128, 64, 32]",relu,sgd,32,50,0.28729166666666667,0.032037982016142434,0.2558333333333333,0.034166666666666665,0.31666666666666665,1.719576065665575,1.7474756338883501,2.3588940858840943,0.7127083333333333,0.7441666666666666,0.8442205478033173,0.8626509529738355,0.7127083333333333,0.7441666666666666,0.33541666666666664,1.7267799911022224
layers,4_layers,"[256, 128, 64, 32]",relu,sgd,32,50,0.2875,0.028671390114731292,0.26333333333333336,0.050990195135927854,0.325,1.6995597847553328,1.7301943756054334,2.561246395111084,0.7125,0.7366666666666666,0.8440971508067067,0.8582928793055822,0.7125,0.7366666666666666,0.33125,1.6959265570378712
neurons,16_neurons,[16],relu,sgd,32,50,0.21270833333333333,0.025810641915905756,0.20249999999999999,0.04410372874133081,0.2916666666666667,1.7745708792389963,1.7854421406548415,0.8366413116455078,0.7872916666666666,0.7975,0.8872945771651412,0.8930285549745876,0.7872916666666666,0.7975,0.2604166666666667,1.7746673929043
neurons,32_neurons,[32],relu,sgd,32,50,0.24354166666666663,0.0314638516131343,0.215,0.05423713365090993,0.31666666666666665,1.7458287688834233,1.7675466093653145,0.8352444887161254,0.7564583333333333,0.7849999999999999,0.869746131542609,0.8860022573334675,0.7564583333333333,0.7849999999999999,0.2916666666666667,1.7317962395227293
neurons,64_neurons,[64],relu,sgd,32,50,0.2897916666666666,0.025146273470326462,0.2675,0.033218552379991245,0.3333333333333333,1.725094458965124,1.7452605956494853,1.2917447805404663,0.7102083333333333,0.7325,0.8427385913397661,0.8558621384311845,0.7102083333333333,0.7325,0.325,1.7216981674750882
neurons,128_neurons,[128],relu,sgd,32,50,0.30500000000000005,0.03701304199573142,0.2925,0.04190763653560052,0.375,1.7061034532689714,1.723491406700371,1.3730419158935547,0.6950000000000001,0.7075,0.8336666000266534,0.8411301920630361,0.6950000000000001,0.7075,0.35833333333333334,1.6824699665982263
activation,relu,"[64, 32]",relu,sgd,32,50,0.26916666666666667,0.033860416089850076,0.23583333333333334,0.044417526570788096,0.3333333333333333,1.7300321478360385,1.753896231752286,1.084640336036682,0.7308333333333333,0.7641666666666667,0.854887906882144,0.8741662694628903,0.7308333333333333,0.7641666666666667,0.32916666666666666,1.7225938693340979
activation,sigmoid,"[64, 32]",sigmoid,sgd,32,50,0.161875,0.016797662287751036,0.17333333333333334,0.024094720491334938,0.225,1.8168973781320346,1.8159048136924654,0.8676170110702515,0.8381250000000001,0.8266666666666665,0.9154916711800278,0.9092121131323904,0.8381250000000001,0.8266666666666665,0.2,1.7837780272032204
activation,tanh,"[64, 32]",tanh,sgd,32,50,0.2883333333333333,0.025090115362207656,0.25083333333333335,0.039343572113709584,0.31666666666666665,1.7149345450316418,1.7407311349977483,0.8110389709472656,0.7116666666666667,0.7491666666666666,0.8436033823229175,0.8655441448399189,0.7116666666666667,0.7491666666666666,0.31875,1.689994153815968
activation,leaky_relu,"[64, 32]",leaky_relu,sgd,32,50,0.26083333333333336,0.024682005366033145,0.21000000000000002,0.024094720491334935,0.24166666666666667,1.7294569087105098,1.7677898702765955,0.8214888572692871,0.7391666666666666,0.79,0.8597480251019287,0.8888194417315589,0.7391666666666666,0.79,0.2916666666666667,1.728773219111576
optimizer,sgd,"[64, 32]",relu,sgd,32,50,0.25875000000000004,0.027414640249326633,0.21833333333333332,0.04096068575814836,0.2916666666666667,1.740559229751744,1.7651958503942549,0.7809713125228882,0.74125,0.7816666666666667,0.8609587678861282,0.8841191473249896,0.74125,0.7816666666666667,0.3,1.7298687681408207
optimizer,momentum,"[64, 32]",relu,momentum,32,50,0.3664583333333334,0.05388105792185022,0.3333333333333333,0.03515837184954831,0.39166666666666666,1.6145637768901575,1.6650297041264301,0.8077712535858155,0.6335416666666667,0.6666666666666667,0.7959533068382005,0.816496580927726,0.6335416666666667,0.6666666666666667,0.4354166666666667,1.619896677952723
optimizer,nesterov,"[64, 32]",relu,nesterov,32,50,0.31479166666666664,0.04060576467695197,0.2775,0.03962497809322913,0.3333333333333333,1.6804437042971128,1.7212295505702315,0.9034202098846436,0.6852083333333334,0.7224999999999999,0.8277731170636876,0.85,0.6852083333333334,0.7224999999999999,0.38958333333333334,1.6618130660486983
